dpq1,dpq2,constituency_vote_midterm,likelihood,times5,times8_1,times8_2,times8_3,times8_4,times8_5,times8_6,times8_7,times8_8,times8_9,times8_10,times8_11,times8_12,times8_13,times8_14,times8_15,times8_16,dpg1,dpq16,dpq17,dpq18,dpq19,dpq20,dpq21,dpq50,dpq51,dpq52,dpq53,timesextra1,timesbregret,timese1,timese1a,timese1b,timese1c,timese1d,timese1e,timese1f,timese1g,timese2,timese2a,timese2b,timese2c,timese2d,timese2e,timese2f,timese3,voted2017,pastvote_2017,profile_GOR,voted_ge_2019,pastvote_ge_2019,pastvote_EURef,political_attention_2017,politics_scale_profile_update,newgor,govreg,new_socgrade,socgrade4,ONS_urban,profile_religion,polAttentionpdl,ethnicity_new,parent_1,parent_2,parent_97,parent_98,sexuality,partyid_2017,age,profile_education_level,profile_ethnicity,profile_gender,tprofile_GOR,profile_govregnew,profile_gross_household,profile_gross_personal,profile_household_children,profile_household_size,profile_housing_stat,profile_marital_stat,profile_partyid,profile_partyid_recode,profile_region,profile_religion_stat,profile_socgradenew,profile_socialgrade_cie,profile_socialgrade_old,profile_work_industry,profile_work_organisation,profile_work_responsibility,profile_work_stat,profile_work_type,social_media_omnibus_1,social_media_omnibus_2,social_media_omnibus_3,social_media_omnibus_4,social_media_omnibus_5,social_media_omnibus_6,profile_house_tenure,pastvote_2015_by_region,political_attention,pastvote_2015_recode,profile_education_level_recode,ONS_urban_UK,profile_pcon_2010_new,profile_oslaua,pcon_future_OA21,Vote2019R,Vote2019_combo,InEngland,InEnglandWales,gor,england_regions,countries_gb,Vote2017R,highest_education_gce,highest_education_simple,threeway_attention,Currvote,headvote,othvote,bpcas3,wellsage,respdate,ns,total,bpcagegeneduc_w8,threeway_attention_w8,socgrade4_w8,pvbyregion_w8,EURef_w8,ethnicity_R,W8,W8_GB_NewTurnout
2,9,10,10,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,7,7,2,7,7,2,2,7,7,5,1,1,1,1,1,1,1,1,1,1,2,4,3,4,2,3,3,1,2,10,1,6,2,6,4,6,3,1,1,1,6,9,1,2,2,1,2,1,97,69,16,1,2,10,6,6,6,1,1,8,5,4,5,8,8,1,2,1,98,6,998,5,1,1,2,2,1,2,2,1,31,9,2,3,1,553,129,558,4,6, ,1,5, ,2,2,6,3,3,2,2,5,8,4,4/10/2024,1,1,10,3,1,29,2,1,1.211786018,1.1511967171
6,9,6,6,3,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,6,4,4,5,4,1,6,7,6,1,3,1,1,3,1,2,3,2,3,2,1,2,3,2,4,3,3,3,1,1,5,1,1,2,8,5,2,3,1,2,1,1,7,1,2,1,2,2,1,1,62,9,1,1,5,2,17,16,1,3,8,1,8,8,8,2,2,3,1,6,2,99,1,3,1,2,2,1,2,2,1,13,7,1,1,1,457,344,476,1,1,1,1,2,2,1,1,3,1,2,6,6,5,3,3,4/11/2024,1,1,4,2,2,7,2,1,0.875166254,0.6563746905
2,9,2,11,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,1,3,1,1,1,1,1,1,1,4,4,4,4,4,4,4,1,2,5,1,2,1,11,2,2,3,1,2,1,7,11,1,2,1,2,2,1,2,77,16,1,1,5,2,8,3,1,2,1,1,2,1,3,1,2,3,1,11,4,1,5,1,1,2,2,1,2,2,1,14,11,2,3,1,523,378,535,2,2,1,1,2,2,1,2,6,3,3,2,2,5,4,4,4/10/2024,1,1,1,3,2,8,1,1,0.806686913,0.806686913
9,9,9,1,3,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,2,2,1,4,4,4,4,4,4,4,1,5,2,5,5,5,5,5,998,998,10,2, ,3,6,8,6,3,1,2,1,98,6,4,2,2,2,2,1,998,51,11,98,1,10,6,98,98,98,98,8,8,8,8,8,8,2,3,1,98,8,998,1,1,2,2,2,2,2,2,98,98,6,998,2,1,540,136,571,7,9, ,1,5, ,2,0,4,2,2,9, , ,3,3,4/11/2024,1,1,3,2,2,30,3,1,0.7778951,0.116684265
7,9,98,11,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,7,7,7,6,7,6,1,7,7,5,3,1,4,4,4,4,4,4,4,1,3,4,3,5,5,3,5,2, ,6,1,7,3,3,2,3,2,2,3,1,1,6,1,2,2,1,2,1,99,23,16,1,2,6,3,11,3,1,4,1,6,5,5,2,2,3,4,2,17,4,1,1,4,1,1,2,2,2,2,8,6,6,99,3,1,370,112,440,5,7,1,1,4,4,1,7,6,3,2,7,7,5,5,1,4/10/2024,1,1,17,2,3,23,3,1,0.929430937,0.929430937
2,9,2,7,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,1,1,7,1,1,1,8,4,4,1,2,3,1,1,9,1,2,2,1,2,1,2,29,9,1,2,7,4,7,4,4,3,5,6,2,2,8,2,3,4,2,16,2,998,2,7,1,2,2,1,2,2,6,12,9,99,1,1,92,29,91,1,1,1,1,3,3,1,1,3,1,3,2,2,5,6,2,4/11/2024,1,1,16,3,3,13,1,1,0.704861975,0.56388958
6,9,6,11,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,4,4,4,4,4,4,4,4,4,4,2,1,1,2,2,2,2,2,2,2,1,2,4,2,3,3,3,4,2, ,9,2, ,2,3,8,5,2,2,3,2,2,1,1,2,1,2,2,1,97,68,11,1,2,9,5,2,2,1,2,6,2,6,6,2,1,3,4,1,16,2,6,5,3,1,1,2,2,2,2,8,6,1,99,2,2,383,107,398,7,9,1,1,4,4,1,7,4,2,1,6,6,5,8,4,4/10/2024,1,1,10,1,3,24,2,1,1.502534406,1.2771542451
4,9,4,11,3,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,5,5,5,5,5,5,5,5,5,5,4,2,1,3,3,3,3,3,3,3,1,3,3,3,3,4,4,3,1,4,11,1,4,1,6,4,7,5,1,1,1,4,9,1,1,2,2,2,1,4,60,17,1,1,11,7,13,13,2,3,8,1,4,5,8,2,1,2,1,98,4,998,1,1,2,2,2,2,2,2,2,28,9,4,3,1,615,162,609,6,4, , ,6, ,3,6,6,3,3,4,4,5,3,3,4/10/2024,1,1,2,3,1,34,1,1,1.06874037,1.06874037
2,9,2,11,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,6,6,2,6,6,6,6,6,6,4,1,1,4,1,1,4,1,1,1,1,4,4,3,4,5,4,4,1,1,10,1,1,2,8,4,6,3,2,3,3,1,9,1,2,1,2,2,1,99,58,20,1,2,10,6,12,2,1,2,4,1,5,5,3,2,3,4,2,16,1,1,1,8,1,2,2,2,2,2,4,33,9,5,2,3,547,145,564,1,1, ,1,5, ,2,1,7,2,3,2,2,5,7,3,4/10/2024,1,1,12,3,3,25,2,1,0.989033921,0.989033921
10,9,10,11,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,7,2,2,2,2,7,1,7,7,2,5,2,1,3,3,3,1,1,1,1,1,5,3,5,3,5,5,4,1,2,6,1,2,1,9,4,3,2,1,2,1,16,9,1,2,2,1,2,1,2,31,16,98,1,6,3,12,5,1,4,8,6,8,8,8,8,2,3,1,98,3,998,1,3,2,2,2,2,2,2,2,98,9,998,3,1,420,111,144,2,2,1,1,4,4,1,2,6,3,3,9, , ,2,2,4/10/2024,1,1,5,3,2,20,1,1,0.918357437,0.918357437
