dpq1,dpq2,constituency_vote_midterm,likelihood,times5,times8_1,times8_2,times8_3,times8_4,times8_5,times8_6,times8_7,times8_8,times8_9,times8_10,times8_11,times8_12,times8_13,times8_14,times8_15,times8_16,dpg1,dpq16,dpq17,dpq18,dpq19,dpq20,dpq21,dpq50,dpq51,dpq52,dpq53,timesextra1,timesbregret,timese1,timese1a,timese1b,timese1c,timese1d,timese1e,timese1f,timese1g,timese2,timese2a,timese2b,timese2c,timese2d,timese2e,timese2f,timese3,voted2017,pastvote_2017,profile_GOR,voted_ge_2019,pastvote_ge_2019,pastvote_EURef,political_attention_2017,politics_scale_profile_update,newgor,govreg,new_socgrade,socgrade4,ONS_urban,profile_religion,polAttentionpdl,ethnicity_new,parent_1,parent_2,parent_97,parent_98,sexuality,partyid_2017,age,profile_education_level,profile_ethnicity,profile_gender,tprofile_GOR,profile_govregnew,profile_gross_household,profile_gross_personal,profile_household_children,profile_household_size,profile_housing_stat,profile_marital_stat,profile_partyid,profile_partyid_recode,profile_region,profile_religion_stat,profile_socgradenew,profile_socialgrade_cie,profile_socialgrade_old,profile_work_industry,profile_work_organisation,profile_work_responsibility,profile_work_stat,profile_work_type,social_media_omnibus_1,social_media_omnibus_2,social_media_omnibus_3,social_media_omnibus_4,social_media_omnibus_5,social_media_omnibus_6,profile_house_tenure,pastvote_2015_by_region,political_attention,pastvote_2015_recode,profile_education_level_recode,ONS_urban_UK,profile_pcon_2010_new,profile_oslaua,pcon_future_OA21,Vote2019R,Vote2019_combo,InEngland,InEnglandWales,gor,england_regions,countries_gb,Vote2017R,highest_education_gce,highest_education_simple,threeway_attention,Currvote,headvote,othvote,bpcas3,wellsage,respdate,ns,total,bpcagegeneduc_w8,threeway_attention_w8,socgrade4_w8,pvbyregion_w8,EURef_w8,ethnicity_R,W8,W8_GB_NewTurnout
9,9,9,2,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,3,3,1,3,3,3,3,3,3,3,1,4,4,4,3,3,4,2,2, ,9,1,2,3,9,1,5,2,2,3,1,1,9,1,2,2,1,2,1,998,23,11,98,1,9,5,16,5,1,5,8,6,8,8,8,8,3,4,1,20,2,998,1,3,2,2,2,2,2,2,7,98,9,998,2,1,55,444,53,2,2,1,1,4,4,1,7,4,2,3,9, , ,1,1,4/10/2024,1,1,9,3,3,20,3,1,2.310668574,1.2708677157
6,9,6,11,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,3,4,1,3,1,3,1,3,4,1,4,2,1,2,2,2,2,3,2,3,1,2,3,2,4,2,5,4,1,99,1,1,2,2,1,5,1,4,1,1,2,1,1,1,2,2,1,2,1,98,57,17,1,1,1,1,13,11,1,2,8,2,8,8,8,8,1,2,1,98,8,998,7,1,2,2,2,2,2,2,1,98,1,998,3,2,291,72,378,2,2,1,1,1,1,1,7,6,3,1,6,6,5,3,3,4/10/2024,1,1,2,1,1,2,2,1,2.298465112,2.298465112
2,9,2,6,3,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,4,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2, ,2,2, ,1,1,8,1,4,2,4,1,1,1,1,2,2,1,2,2,97,49,9,98,1,2,1,3,2,2,1,4,6,8,8,8,8,4,5,2,16,6,998,2,4,1,2,2,2,2,2,4,24,1,99,1,1,44,82,43,7,9,1,1,1,1,1,7,3,1,1,2,2,5,2,2,4/10/2024,1,1,7,1,4,6,1,1,2.293764519,1.19275754988
98,9,98,8,8,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,7,7,2,2,2,2,7,2,2,2,2,3,1,4,4,4,4,4,4,4,1,2,2,1,2,1,2,2,2, ,7,2, ,3,8,5,4,1,2,3,1,1,9,1,1,2,2,2,1,2,33,9,1,1,7,4,14,12,3,4,8,1,8,8,8,4,3,4,2,20,2,998,1,5,2,2,2,2,2,2,1,98,9,998,1,1,221,7,228,7,9,1,1,3,3,1,7,3,1,3, , , ,2,2,4/11/2024,1,1,7,3,3,18,3,1,2.281422615,1.48292469975
2,9,2,8,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,3,2,1,4,4,4,4,1,1,1,1,4,4,4,5,4,3,4,2, ,7,1,2,3,8,3,4,1,1,2,1,98,5,1,2,2,1,2,1,2,25,17,98,1,7,4,98,98,2,98,8,6,8,8,8,8,2,3,2,98,8,998,4,9,2,2,2,2,2,2,98,98,5,998,3,1,230,26,238,2,2,1,1,3,3,1,7,6,3,2,2,2,5,2,2,4/10/2024,1,1,5,2,2,14,3,1,2.243366169,1.90686124365
2,9,2,11,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,1,3,11,1,3,2,2,5,7,5,2,3,3,1,2,1,2,2,1,2,1,3,65,6,98,1,11,7,7,5,1,2,8,1,8,8,8,2,3,4,2,2,2,998,1,6,2,2,2,2,2,2,1,98,2,998,2,3,611,165,624,3,3, , ,6, ,3,3,4,2,1,2,2,5,4,4,4/10/2024,1,1,1,1,3,33,2,1,2.241142491,2.241142491
6,9,6,11,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,2,1,1,2,2,2,2,2,2,2,1,5,4,4,4,5,4,5,1,6,2,1,6,2,9,6,1,4,2,3,1,3,9,1,2,1,2,2,1,6,53,11,1,2,2,1,7,3,1,2,4,2,6,6,4,2,3,4,1,20,6,99,7,3,1,2,2,2,2,2,4,22,9,6,2,1,14,453,14,4,6,1,1,1,1,1,4,4,2,3,6,6,5,7,3,4/10/2024,1,1,12,3,3,4,2,1,2.239736171,2.239736171
1,9,1,9,3,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,7,7,1,2,2,2,7,1,1,7,2,1,1,3,4,4,4,2,4,4,1,3,4,3,2,3,3,3,1,1,5,1,1,2,3,5,2,3,1,2,1,1,2,1,2,2,1,2,1,1,26,16,98,2,5,2,12,8,1,2,8,6,8,8,8,8,2,3,1,98,2,998,1,3,2,2,2,2,2,2,2,98,2,998,3,1,397,94,411,1,1,1,1,2,2,1,1,6,3,1,1,1,5,6,2,4/10/2024,1,1,14,1,2,7,2,1,2.21423997,1.992815973
10,9,10,5,3,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,6,3,2,1,1,2,3,4,4,3,2,1,1,1,2,3,3,1,1,3,1,2,3,3,4,2,4,4,2, ,5,2, ,3,1,8,2,3,2,3,1,2,3,1,2,2,1,2,1,2,19,1,98,2,5,2,1,1,5,6,8,6,8,8,8,8,3,4,2,8,8,998,8,7,2,2,2,2,2,2,6,98,3,998,1,1,89,337,88,7,9,1,1,2,2,1,7,1,1,1,9, , ,5,1,4/10/2024,1,1,18,1,3,12,3,1,2.200374653,1.25421355221
2,9,2,11,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,7,7,7,7,7,7,7,7,6,7,3,2,1,4,4,4,4,4,4,1,1,3,4,2,4,3,3,3,2, ,7,2, ,3,8,3,4,1,1,2,1,1,8,12,2,2,1,2,1,97,32,9,14,1,7,4,13,13,1,1,2,6,8,8,8,2,2,3,1,5,2,998,1,1,2,2,2,2,2,1,2,12,8,99,1,1,222,16,230,7,9,1,1,3,3,1,7,3,1,2,2,2,5,2,2,4/10/2024,1,1,7,2,2,18,3,2,2.194129768,1.8650103028
